自增ID,内部订单号,线上订单号,店铺名称,全渠道用户ID,发货日期,付款日期,应付金额,已付金额,状态,收货人,款号,商品编码,商品名称,颜色及规格,下单时间,省份,城市,平台站点,子订单编号,线上子订单编号,原始线上订单号,数量,商品单价,商品金额,原价,是否赠品,子订单状态,退款状态,登记数量,实退数量
1787,INT20250001786,ON20250001786,太平鸟男装官方旗舰店,ad6347266552631303,2025-08-12 04:08:25,2025-08-10 04:08:25,495.0,495.0,已完成,李燕,SPU123,SPU123-粉色-XXL,家居服夏季款,粉色 宽松,2025-08-09 04:08:25,天津市,天津市,抖音,SUB20250001786,ONSUB20250001786,ORIG20250001786,3,165.0,495.0,230.21,否,已完成,未申请退款,0,0
1788,INT20250001787,ON20250001787,Stradivarius女装官方旗舰店,ad1668020497206600,2025-05-25 00:06:53,2025-05-23 00:06:53,227.0,227.0,已完成,陆霞,SPU078,SPU078-粉色-XXXL,连帽卫衣秋冬款,粉色 短款,2025-05-22 00:06:53,四川省,甘孜藏族自治州,京东,SUB20250001787,ONSUB20250001787,ORIG20250001787,1,227.0,227.0,317.49,否,已完成,未申请退款,0,0
1789,INT20250001788,ON20250001788,ZARA童装官方旗舰店,ab4177883302635826,,,882.0,0.0,待付款,凌文,SPU036,SPU036-红色-XL,羽绒服热卖款,红色 修身,2025-08-30 10:42:06,云南省,保山市,京东,SUB20250001788,ONSUB20250001788,ORIG20250001788,3,294.0,882.0,423.13,是,待付款,未申请退款,0,0
1790,INT20250001789,ON20250001789,太平鸟童装官方旗舰店,af5262752331243479,2025-08-28 16:08:56,2025-08-25 16:08:56,402.0,402.0,已完成,陈英,SPU031,SPU031-黑色-均码,运动套装经典款,黑色 标准,2025-08-24 16:08:56,陕西省,宝鸡市,拼多多,SUB20250001789,ONSUB20250001789,ORIG20250001789,1,402.0,402.0,482.73,否,已完成,成功退款,1,1
1791,INT20250001790,ON20250001790,Pull&Bear男装官方旗舰店,ae3385824881785731,2025-09-20 20:05:44,2025-09-19 20:05:44,204.0,204.0,已发货,叶英,SPU072,SPU072-灰色-XXL,休闲裤新款,灰色 修身,2025-09-18 20:05:44,辽宁省,本溪市,淘宝,SUB20250001790,ONSUB20250001790,ORIG20250001790,1,204.0,204.0,260.74,否,已发货,未申请退款,0,0
1792,INT20250001791,ON20250001791,Stradivarius女装官方旗舰店,ad7551647700495369,,,209.0,0.0,待付款,宋秀芳,SPU132,SPU132-灰色-XXL,风衣新款,灰色 标准,2025-06-27 06:54:38,广西壮族自治区,来宾市,京东,SUB20250001791,ONSUB20250001791,ORIG20250001791,1,209.0,209.0,248.29,否,待付款,未申请退款,0,0
1793,INT20250001792,ON20250001792,太平鸟男装官方旗舰店,ae9099874844199309,2025-06-09 18:04:48,2025-06-08 18:04:48,221.0,221.0,已完成,杨红梅,SPU115,SPU115-黄色-XS,家居服春季款,黄色 修身,2025-06-06 18:04:48,新疆维吾尔自治区,吐鲁番市,抖音,SUB20250001792,ONSUB20250001792,ORIG20250001792,1,221.0,221.0,308.27,是,已完成,退款关闭,0,0
1794,INT20250001793,ON20250001793,江南布衣女装官方旗舰店,ae6497380197739158,,,273.0,0.0,待付款,项淑华,SPU061,SPU061-白色-XS,休闲裤夏季款,白色 加长,2025-08-25 03:59:51,四川省,巴中市,淘宝,SUB20250001793,ONSUB20250001793,ORIG20250001793,1,273.0,273.0,309.07,否,待付款,未申请退款,0,0
1795,INT20250001794,ON20250001794,播男装官方旗舰店,ab3561100054126459,2025-06-14 15:31:13,2025-06-11 15:31:13,114.0,98.87,已完成,林雷,SPU191,SPU191-粉色-S,运动套装新款,粉色 标准,2025-06-09 15:31:13,陕西省,汉中市,拼多多,SUB20250001794,ONSUB20250001794,ORIG20250001794,1,114.0,114.0,136.82,否,已完成,未申请退款,0,0
1796,INT20250001795,ON20250001795,播男装官方旗舰店,af6746091685682681,,2025-10-22 17:01:05,438.0,438.0,已付款,胡淑华,SPU089,SPU089-黄色-均码,跑步外套夏季款,黄色 宽松,2025-10-21 17:01:05,山东省,青岛市,淘宝,SUB20250001795,ONSUB20250001795,ORIG20250001795,2,219.0,438.0,278.87,否,已付款,退款关闭,0,0
1797,INT20250001796,ON20250001796,太平鸟官方旗舰店,af6578892105253502,,2025-10-01 17:57:53,490.0,490.0,已付款,吴淑兰,SPU172,SPU172-绿色-均码,短裤春季款,绿色 修身,2025-09-29 17:57:53,贵州省,黔东南苗族侗族自治州,京东,SUB20250001796,ONSUB20250001796,ORIG20250001796,1,490.0,490.0,653.89,是,已付款,申请退款,1,0
1798,INT20250001797,ON20250001797,优衣库女装官方旗舰店,ad4512689483824893,,2025-07-13 22:01:56,245.0,245.0,已付款,李霞,SPU050,SPU050-黑色-XXL,休闲裤热卖款,黑色 修身,2025-07-13 22:01:56,黑龙江省,黑河市,抖音,SUB20250001797,ONSUB20250001797,ORIG20250001797,1,245.0,245.0,321.9,是,已付款,申请退款,1,0
1799,INT20250001798,ON20250001798,Bershka官方旗舰店,ab9530365377508077,2025-07-25 21:58:01,2025-07-24 21:58:01,414.0,414.0,已完成,朱春梅,SPU113,SPU113-白色-M,家居服新款,白色 短款,2025-07-22 21:58:01,陕西省,商洛市,微信,SUB20250001798,ONSUB20250001798,ORIG20250001798,2,207.0,414.0,291.49,否,已完成,退款关闭,0,0
1800,INT20250001799,ON20250001799,GAP官方旗舰店,ae1821679071667730,2025-07-16 04:10:07,2025-07-14 04:10:07,436.0,436.0,已完成,朱丹,SPU144,SPU144-橙色-M,牛仔裤秋冬款,橙色 短款,2025-07-12 04:10:07,辽宁省,沈阳市,天猫,SUB20250001799,ONSUB20250001799,ORIG20250001799,2,218.0,436.0,298.33,是,已完成,成功退款,2,1
1801,INT20250001800,ON20250001800,Pull&Bear男装官方旗舰店,ac1127437272869053,,2025-10-05 07:18:31,974.0,974.0,已付款,王帆,SPU191,SPU191-粉色-L,运动套装新款,粉色 宽松,2025-10-05 07:18:31,重庆市,重庆市,拼多多,SUB20250001800,ONSUB20250001800,ORIG20250001800,2,487.0,974.0,640.84,是,已付款,未申请退款,0,0
1802,INT20250001801,ON20250001801,ZARA官方旗舰店,ab7885496397357005,2025-09-19 17:10:31,2025-09-18 17:10:31,1119.0,1119.0,已完成,张波,SPU120,SPU120-白色-S,风衣秋冬款,白色 修身,2025-09-18 17:10:31,甘肃省,张掖市,微信,SUB20250001801,ONSUB20250001801,ORIG20250001801,3,373.0,1119.0,507.84,是,已完成,退款关闭,0,0
1803,INT20250001802,ON20250001802,Massimo Dutti官方旗舰店,ad7074075259800225,2025-07-22 14:17:28,2025-07-20 14:17:28,371.0,371.0,已完成,冉建平,SPU015,SPU015-灰色-M,牛仔裤秋冬款,灰色 修身,2025-07-19 14:17:28,广西壮族自治区,南宁市,抖音,SUB20250001802,ONSUB20250001802,ORIG20250001802,1,371.0,371.0,473.12,否,已完成,退款关闭,0,0
1804,INT20250001803,ON20250001803,GXG官方旗舰店,ab1713604116924103,,2025-08-13 02:55:50,608.0,608.0,已付款,黄倩,SPU019,SPU019-黑色-S,针织连衣裙热卖款,黑色 标准,2025-08-11 02:55:50,吉林省,白州市,拼多多,SUB20250001803,ONSUB20250001803,ORIG20250001803,2,304.0,608.0,438.93,是,已付款,退款关闭,0,0
1805,INT20250001804,ON20250001804,欧时力女装官方旗舰店,ad5863721899749850,,,311.0,0.0,已取消,梁冬梅,SPU012,SPU012-米色-L,条纹衬衫夏季款,米色 修身,2025-07-12 01:01:07,广东省,湛江市,抖音,SUB20250001804,ONSUB20250001804,ORIG20250001804,1,311.0,311.0,365.49,是,已取消,未申请退款,0,0
1806,INT20250001805,ON20250001805,太平鸟女装官方旗舰店,ad9990541717366805,2025-09-10 04:35:28,2025-09-08 04:35:28,1335.0,1178.05,已完成,王敏,SPU015,SPU015-灰色-M,牛仔裤秋冬款,灰色 标准,2025-09-08 04:35:28,江西省,鹰潭市,拼多多,SUB20250001805,ONSUB20250001805,ORIG20250001805,3,445.0,1335.0,537.25,否,已完成,成功退款,3,1
1807,INT20250001806,ON20250001806,森马女装官方旗舰店,af8192370490302364,2025-05-20 04:23:26,2025-05-17 04:23:26,207.0,207.0,已完成,张玉华,SPU113,SPU113-白色-M,家居服新款,白色 短款,2025-05-15 04:23:26,海南省,儋州市,天猫,SUB20250001806,ONSUB20250001806,ORIG20250001806,1,207.0,207.0,280.36,否,已完成,未申请退款,0,0
1808,INT20250001807,ON20250001807,森马官方旗舰店,ac3949280226612615,,,65.0,0.0,待付款,温静,SPU030,SPU030-绿色-XL,牛仔裤热卖款,绿色 修身,2025-05-20 15:07:52,江西省,上饶市,拼多多,SUB20250001807,ONSUB20250001807,ORIG20250001807,1,65.0,65.0,79.11,否,待付款,未申请退款,0,0
1809,INT20250001808,ON20250001808,秋水伊人官方旗舰店,ad2097743337296007,,,1191.0,0.0,已取消,范慧,SPU058,SPU058-绿色-XS,运动套装热卖款,绿色 加长,2025-09-10 11:28:09,陕西省,西安市,抖音,SUB20250001808,ONSUB20250001808,ORIG20250001808,3,397.0,1191.0,446.54,否,已取消,未申请退款,0,0
1810,INT20250001809,ON20250001809,优衣库男装官方旗舰店,ad3701770185658423,2025-08-24 07:05:10,2025-08-23 07:05:10,1302.0,1302.0,已完成,陈明,SPU160,SPU160-粉色-XS,家居服新款,粉色 标准,2025-08-22 07:05:10,西藏自治区,林芝市,抖音,SUB20250001809,ONSUB20250001809,ORIG20250001809,3,434.0,1302.0,631.48,否,已完成,退款关闭,0,0
1811,INT20250001810,ON20250001810,播女装官方旗舰店,ae8520209645919725,2025-07-24 18:32:36,2025-07-22 18:32:36,180.0,180.0,已发货,白秀云,SPU138,SPU138-棕色-S,跑步外套热卖款,棕色 宽松,2025-07-22 18:32:36,上海市,上海市,拼多多,SUB20250001810,ONSUB20250001810,ORIG20250001810,3,60.0,180.0,89.46,否,已发货,未申请退款,0,0
1812,INT20250001811,ON20250001811,韩都衣舍女装官方旗舰店,ad1892463842237277,2025-10-13 20:36:44,2025-10-11 20:36:44,248.0,248.0,已发货,吴涛,SPU136,SPU136-灰色-L,休闲衬衫秋冬款,灰色 宽松,2025-10-11 20:36:44,上海市,上海市,拼多多,SUB20250001811,ONSUB20250001811,ORIG20250001811,1,248.0,248.0,275.14,否,已发货,申请退款,1,0
1813,INT20250001812,ON20250001812,优衣库男装官方旗舰店,ad7353783529762740,2025-08-30 03:16:14,2025-08-29 03:16:14,606.0,606.0,已完成,李丹,SPU064,SPU064-粉色-XXXL,童装套装春季款,粉色 标准,2025-08-29 03:16:14,吉林省,通化市,淘宝,SUB20250001812,ONSUB20250001812,ORIG20250001812,2,303.0,606.0,442.03,是,已完成,未申请退款,0,0
1814,INT20250001813,ON20250001813,森马女装官方旗舰店,ae5636232495127018,2025-05-19 08:00:49,2025-05-17 08:00:49,864.0,864.0,已发货,张洁,SPU154,SPU154-黑色-L,短裤热卖款,黑色 短款,2025-05-16 08:00:49,广东省,汕尾市,拼多多,SUB20250001813,ONSUB20250001813,ORIG20250001813,3,288.0,864.0,406.06,否,已发货,退款关闭,0,0
1815,INT20250001814,ON20250001814,GAP童装官方旗舰店,ac2433927517298955,,2025-07-05 21:01:17,990.0,990.0,已付款,卢勇,SPU118,SPU118-绿色-S,西装外套夏季款,绿色 加长,2025-07-05 21:01:17,新疆维吾尔自治区,白杨市,淘宝,SUB20250001814,ONSUB20250001814,ORIG20250001814,2,495.0,990.0,632.49,否,已付款,申请退款,2,0
1816,INT20250001815,ON20250001815,森马官方旗舰店,ae3927470543637389,2025-08-31 01:37:43,2025-08-29 01:37:43,322.0,322.0,已完成,阴鑫,SPU055,SPU055-黑色-XXL,风衣夏季款,黑色 宽松,2025-08-29 01:37:43,内蒙古自治区,乌兰察布市,京东,SUB20250001815,ONSUB20250001815,ORIG20250001815,1,322.0,322.0,469.91,是,已完成,退款关闭,0,0
1817,INT20250001816,ON20250001816,播男装官方旗舰店,af7120553451704990,,2025-10-09 21:09:22,186.0,186.0,已付款,罗红梅,SPU079,SPU079-棕色-XS,家居服夏季款,棕色 宽松,2025-10-08 21:09:22,山东省,济南市,微信,SUB20250001816,ONSUB20250001816,ORIG20250001816,1,186.0,186.0,261.2,否,已付款,退款关闭,0,0
1818,INT20250001817,ON20250001817,优衣库男装官方旗舰店,ac7876946831764067,2025-07-12 00:20:38,2025-07-09 00:20:38,730.0,730.0,已完成,赵阳,SPU181,SPU181-棕色-XXXL,羽绒服夏季款,棕色 加长,2025-07-09 00:20:38,重庆市,重庆市,京东,SUB20250001817,ONSUB20250001817,ORIG20250001817,2,365.0,730.0,414.32,是,已完成,未申请退款,0,0
1819,INT20250001818,ON20250001818,优衣库男装官方旗舰店,ae6369433278620203,,2025-06-13 21:56:45,451.0,451.0,已付款,潘岩,SPU189,SPU189-蓝色-L,跑步外套夏季款,蓝色 短款,2025-06-12 21:56:45,江西省,宜春市,淘宝,SUB20250001818,ONSUB20250001818,ORIG20250001818,1,451.0,451.0,672.45,否,已付款,未申请退款,0,0
1820,INT20250001819,ON20250001819,GAP男装官方旗舰店,ac7868088103948652,2025-08-24 04:46:18,2025-08-21 04:46:18,262.0,262.0,已完成,胡娟,SPU080,SPU080-红色-XL,连帽卫衣夏季款,红色 加长,2025-08-19 04:46:18,河北省,沧州市,天猫,SUB20250001819,ONSUB20250001819,ORIG20250001819,2,131.0,262.0,168.88,是,已完成,未申请退款,0,0
1821,INT20250001820,ON20250001820,太平鸟官方旗舰店,ae3643092968031507,2025-09-11 03:47:25,2025-09-08 03:47:25,408.0,408.0,已完成,董东,SPU196,SPU196-紫色-M,休闲衬衫春季款,紫色 短款,2025-09-06 03:47:25,上海市,上海市,拼多多,SUB20250001820,ONSUB20250001820,ORIG20250001820,2,204.0,408.0,262.38,是,已完成,退款关闭,0,0
1822,INT20250001821,ON20250001821,太平鸟女装官方旗舰店,ae8968518948004304,,2025-10-31 01:36:23,163.0,163.0,已付款,杨军,SPU139,SPU139-粉色-XL,休闲衬衫新款,粉色 短款,2025-10-29 01:36:23,河北省,承德市,淘宝,SUB20250001821,ONSUB20250001821,ORIG20250001821,1,163.0,163.0,203.23,是,已付款,申请退款,1,0
1823,INT20250001822,ON20250001822,VERO MODA官方旗舰店,ab5669686818367698,2025-06-28 19:23:12,2025-06-27 19:23:12,328.0,328.0,已发货,李桂芳,SPU010,SPU010-黑色-XL,套头卫衣秋冬款,黑色 加长,2025-06-27 19:23:12,吉林省,长春市,拼多多,SUB20250001822,ONSUB20250001822,ORIG20250001822,2,164.0,328.0,235.85,是,已发货,未申请退款,0,0
1824,INT20250001823,ON20250001823,Pull&Bear男装官方旗舰店,ae7050046114086181,2025-10-01 19:02:03,2025-09-30 19:02:03,610.0,610.0,已完成,刘杰,SPU159,SPU159-红色-L,运动长裤新款,红色 加长,2025-09-28 19:02:03,黑龙江省,七台河市,天猫,SUB20250001823,ONSUB20250001823,ORIG20250001823,2,305.0,610.0,388.04,是,已完成,成功退款,2,2
1825,INT20250001824,ON20250001824,GAP童装官方旗舰店,ae2820066325190394,,2025-10-16 00:30:46,374.0,374.0,已付款,苏建军,SPU103,SPU103-红色-XL,家居服经典款,红色 短款,2025-10-14 00:30:46,陕西省,咸阳市,京东,SUB20250001824,ONSUB20250001824,ORIG20250001824,2,187.0,374.0,233.59,否,已付款,退款中,2,2
1826,INT20250001825,ON20250001825,COS官方旗舰店,af1617982250736198,2025-06-10 06:24:19,2025-06-09 06:24:19,60.0,60.0,已完成,王梅,SPU192,SPU192-橙色-XL,家居服夏季款,橙色 标准,2025-06-08 06:24:19,江苏省,南通市,京东,SUB20250001825,ONSUB20250001825,ORIG20250001825,1,60.0,60.0,75.16,是,已完成,退款关闭,0,0
1827,INT20250001826,ON20250001826,太平鸟童装官方旗舰店,af3281647574661664,2025-06-17 08:56:23,2025-06-15 08:56:23,186.0,186.0,已完成,丁欢,SPU161,SPU161-棕色-M,POLO衫热卖款,棕色 标准,2025-06-13 08:56:23,江苏省,南京市,天猫,SUB20250001826,ONSUB20250001826,ORIG20250001826,1,186.0,186.0,222.45,是,已完成,退款关闭,0,0
1828,INT20250001827,ON20250001827,太平鸟官方旗舰店,ab8762576466950860,2025-06-26 12:46:21,2025-06-25 12:46:21,319.0,319.0,已完成,黄晨,SPU048,SPU048-绿色-M,运动套装热卖款,绿色 修身,2025-06-24 12:46:21,江西省,萍乡市,微信,SUB20250001827,ONSUB20250001827,ORIG20250001827,1,319.0,319.0,417.02,是,已完成,未申请退款,0,0
1829,INT20250001828,ON20250001828,播官方旗舰店,ad8761258450493809,2025-06-22 10:31:44,2025-06-21 10:31:44,963.0,963.0,已发货,刘建军,SPU164,SPU164-白色-S,连帽卫衣热卖款,白色 标准,2025-06-21 10:31:44,云南省,曲靖市,淘宝,SUB20250001828,ONSUB20250001828,ORIG20250001828,3,321.0,963.0,356.21,否,已发货,申请退款,3,0
1830,INT20250001829,ON20250001829,太平鸟女装官方旗舰店,ab3573611892924507,2025-05-22 08:51:54,2025-05-20 08:51:54,339.0,339.0,已发货,俞桂珍,SPU196,SPU196-紫色-M,休闲衬衫春季款,紫色 短款,2025-05-19 08:51:54,山西省,阳泉市,淘宝,SUB20250001829,ONSUB20250001829,ORIG20250001829,3,113.0,339.0,157.67,否,已发货,退款中,3,0
1831,INT20250001830,ON20250001830,耐克官方旗舰店,ae3927470543637389,2025-07-10 14:29:36,2025-07-08 14:29:36,1089.0,1089.0,已完成,阴鑫,SPU116,SPU116-灰色-M,家居服热卖款,灰色 宽松,2025-07-06 14:29:36,内蒙古自治区,乌兰察布市,京东,SUB20250001830,ONSUB20250001830,ORIG20250001830,3,363.0,1089.0,429.09,否,已完成,未申请退款,0,0
1832,INT20250001831,ON20250001831,ONLY官方旗舰店,af4113672767410700,,,273.0,0.0,已取消,薛娜,SPU129,SPU129-米色-L,家居服秋冬款,米色 短款,2025-09-09 16:54:57,重庆市,重庆市,天猫,SUB20250001831,ONSUB20250001831,ORIG20250001831,1,273.0,273.0,396.72,是,已取消,未申请退款,0,0
1833,INT20250001832,ON20250001832,欧时力官方旗舰店,ab3390218768082478,2025-07-30 04:10:29,2025-07-27 04:10:29,256.0,256.0,已完成,张荣,SPU112,SPU112-红色-XXL,运动长裤春季款,红色 短款,2025-07-27 04:10:29,浙江省,杭州市,抖音,SUB20250001832,ONSUB20250001832,ORIG20250001832,1,256.0,256.0,332.8,否,已完成,退款关闭,0,0
1834,INT20250001833,ON20250001833,ZARA女装官方旗舰店,ae8747692782376363,,2025-05-15 01:08:22,462.0,462.0,已付款,王桂花,SPU025,SPU025-黄色-XS,家居服热卖款,黄色 宽松,2025-05-13 01:08:22,湖南省,娄底市,微信,SUB20250001833,ONSUB20250001833,ORIG20250001833,3,154.0,462.0,223.38,否,已付款,未申请退款,0,0
1835,INT20250001834,ON20250001834,森马女装官方旗舰店,af2093134564451850,,2025-08-27 10:47:56,766.0,766.0,已付款,冯婷,SPU046,SPU046-黄色-XXXL,家居服经典款,黄色 加长,2025-08-25 10:47:56,宁夏回族自治区,银川市,拼多多,SUB20250001834,ONSUB20250001834,ORIG20250001834,2,383.0,766.0,480.62,是,已付款,未申请退款,0,0
1836,INT20250001835,ON20250001835,Bershka官方旗舰店,af6833374007368870,2025-08-15 03:17:17,2025-08-12 03:17:17,226.0,226.0,已完成,高秀云,SPU196,SPU196-紫色-M,休闲衬衫春季款,紫色 短款,2025-08-10 03:17:17,吉林省,松原市,抖音,SUB20250001835,ONSUB20250001835,ORIG20250001835,2,113.0,226.0,150.88,否,已完成,未申请退款,0,0
1837,INT20250001836,ON20250001836,江南布衣女装官方旗舰店,ac7109644098032429,2025-08-02 22:21:55,2025-07-30 22:21:55,560.0,560.0,已完成,熊建,SPU040,SPU040-棕色-均码,运动T恤热卖款,棕色 修身,2025-07-30 22:21:55,新疆维吾尔自治区,博尔塔拉蒙古自治州,拼多多,SUB20250001836,ONSUB20250001836,ORIG20250001836,2,280.0,560.0,394.94,否,已完成,成功退款,2,1
1838,INT20250001837,ON20250001837,江南布衣男装官方旗舰店,af6282406304770515,,2025-08-07 11:57:43,163.0,163.0,已付款,赵秀兰,SPU033,SPU033-黄色-S,长袖T恤新款,黄色 修身,2025-08-05 11:57:43,吉林省,松原市,淘宝,SUB20250001837,ONSUB20250001837,ORIG20250001837,1,163.0,163.0,193.44,是,已付款,退款关闭,0,0
1839,INT20250001838,ON20250001838,ONLY女装官方旗舰店,af3497467660227747,2025-09-02 22:40:06,2025-08-31 22:40:06,1113.0,1113.0,已完成,黄秀梅,SPU015,SPU015-灰色-M,牛仔裤秋冬款,灰色 修身,2025-08-31 22:40:06,西藏自治区,林芝市,京东,SUB20250001838,ONSUB20250001838,ORIG20250001838,3,371.0,1113.0,539.44,否,已完成,未申请退款,0,0
1840,INT20250001839,ON20250001839,Stradivarius女装官方旗舰店,af5296253124945588,,,646.0,0.0,待付款,李杨,SPU130,SPU130-黑色-均码,休闲衬衫热卖款,黑色 短款,2025-09-07 14:17:27,重庆市,重庆市,拼多多,SUB20250001839,ONSUB20250001839,ORIG20250001839,2,323.0,646.0,387.17,否,待付款,未申请退款,0,0
1841,INT20250001840,ON20250001840,Stradivarius官方旗舰店,ad8933961823608902,2025-05-20 11:16:11,2025-05-17 11:16:11,567.0,567.0,已发货,杨静,SPU077,SPU077-棕色-XS,套头卫衣秋冬款,棕色 修身,2025-05-16 11:16:11,海南省,澄迈县,淘宝,SUB20250001840,ONSUB20250001840,ORIG20250001840,3,189.0,567.0,224.27,是,已发货,申请退款,3,0
1842,INT20250001841,ON20250001841,优衣库男装官方旗舰店,ab9530365377508077,2025-09-19 22:53:23,2025-09-16 22:53:23,112.0,112.0,已发货,朱春梅,SPU176,SPU176-粉色-XXXL,休闲衬衫秋冬款,粉色 加长,2025-09-14 22:53:23,陕西省,商洛市,拼多多,SUB20250001841,ONSUB20250001841,ORIG20250001841,2,56.0,112.0,81.4,否,已发货,未申请退款,0,0
1843,INT20250001842,ON20250001842,H&M男装官方旗舰店,ad2902627327623777,,,472.0,0.0,待付款,王秀英,SPU171,SPU171-米色-XL,家居服秋冬款,米色 短款,2025-07-16 18:05:27,重庆市,重庆市,拼多多,SUB20250001842,ONSUB20250001842,ORIG20250001842,2,236.0,472.0,260.41,是,待付款,未申请退款,0,0
1844,INT20250001843,ON20250001843,Mango官方旗舰店,ae3865877245261866,2025-08-11 22:56:23,2025-08-09 22:56:23,242.0,242.0,已完成,江建国,SPU128,SPU128-棕色-S,针织连衣裙新款,棕色 加长,2025-08-07 22:56:23,山东省,青岛市,抖音,SUB20250001843,ONSUB20250001843,ORIG20250001843,1,242.0,242.0,337.34,否,已完成,未申请退款,0,0
1845,INT20250001844,ON20250001844,优衣库男装官方旗舰店,ab6956127698920857,2025-07-25 05:51:42,2025-07-23 05:51:42,345.0,345.0,已完成,欧秀荣,SPU070,SPU070-棕色-XL,连帽卫衣春季款,棕色 宽松,2025-07-22 05:51:42,贵州省,贵阳市,微信,SUB20250001844,ONSUB20250001844,ORIG20250001844,1,345.0,345.0,440.17,是,已完成,退款关闭,0,0
1846,INT20250001845,ON20250001845,杰克琼斯男装官方旗舰店,ab9536636470087522,2025-07-20 05:21:59,2025-07-17 05:21:59,181.0,181.0,已发货,黄玉华,SPU041,SPU041-白色-XXL,运动套装热卖款,白色 修身,2025-07-16 05:21:59,湖北省,神农架林区,拼多多,SUB20250001845,ONSUB20250001845,ORIG20250001845,1,181.0,181.0,219.05,否,已发货,申请退款,1,0
1847,INT20250001846,ON20250001846,优衣库官方旗舰店,ac4025045417828121,,2025-08-31 14:58:25,448.0,448.0,已付款,赵超,SPU048,SPU048-绿色-均码,运动套装热卖款,绿色 宽松,2025-08-30 14:58:25,广西壮族自治区,钦州市,京东,SUB20250001846,ONSUB20250001846,ORIG20250001846,1,448.0,448.0,609.15,否,已付款,申请退款,1,0
1848,INT20250001847,ON20250001847,江南布衣男装官方旗舰店,ae5635072291063736,2025-08-10 09:45:35,2025-08-07 09:45:35,395.0,395.0,已发货,蒋刚,SPU105,SPU105-米色-M,速干短裤秋冬款,米色 加长,2025-08-07 09:45:35,江西省,抚州市,拼多多,SUB20250001847,ONSUB20250001847,ORIG20250001847,1,395.0,395.0,477.83,否,已发货,未申请退款,0,0
1849,INT20250001848,ON20250001848,Mango官方旗舰店,ae2862998166644060,2025-09-10 11:21:36,2025-09-08 11:21:36,169.0,169.0,已发货,杨玉梅,SPU003,SPU003-红色-XL,家居服新款,红色 修身,2025-09-07 11:21:36,海南省,海口市,淘宝,SUB20250001848,ONSUB20250001848,ORIG20250001848,1,169.0,169.0,226.45,否,已发货,退款关闭,0,0
1850,INT20250001849,ON20250001849,Pull&Bear官方旗舰店,ad8839838940070758,2025-07-26 21:55:32,2025-07-24 21:55:32,428.0,428.0,已完成,何涛,SPU164,SPU164-白色-XXXL,连帽卫衣热卖款,白色 宽松,2025-07-23 21:55:32,新疆维吾尔自治区,胡杨河市,京东,SUB20250001849,ONSUB20250001849,ORIG20250001849,2,214.0,428.0,264.0,否,已完成,成功退款,2,2
1851,INT20250001850,ON20250001850,Bershka官方旗舰店,ab2448584483726704,2025-08-13 01:20:39,2025-08-12 01:20:39,465.0,465.0,已完成,万刚,SPU111,SPU111-白色-S,POLO衫春季款,白色 短款,2025-08-10 01:20:39,河北省,保定市,天猫,SUB20250001850,ONSUB20250001850,ORIG20250001850,1,465.0,465.0,694.28,否,已完成,未申请退款,0,0
1852,INT20250001851,ON20250001851,GAP男装官方旗舰店,af8138380308183059,2025-07-26 07:06:29,2025-07-24 07:06:29,200.0,200.0,已完成,梁楠,SPU152,SPU152-绿色-均码,套头卫衣夏季款,绿色 修身,2025-07-24 07:06:29,甘肃省,临夏回族自治州,京东,SUB20250001851,ONSUB20250001851,ORIG20250001851,2,100.0,200.0,114.17,是,已完成,未申请退款,0,0
1853,INT20250001852,ON20250001852,江南布衣官方旗舰店,ae2338431489816565,2025-08-15 11:18:04,2025-08-13 11:18:04,481.0,481.0,已完成,许刚,SPU180,SPU180-橙色-L,家居服经典款,橙色 宽松,2025-08-11 11:18:04,天津市,天津市,拼多多,SUB20250001852,ONSUB20250001852,ORIG20250001852,1,481.0,481.0,555.07,是,已完成,退款关闭,0,0
1854,INT20250001853,ON20250001853,Stradivarius官方旗舰店,ad4129328925117543,,2025-07-07 09:25:05,915.0,915.0,已付款,高亮,SPU131,SPU131-棕色-XS,运动套装秋冬款,棕色 宽松,2025-07-06 09:25:05,海南省,澄迈县,拼多多,SUB20250001853,ONSUB20250001853,ORIG20250001853,3,305.0,915.0,385.8,否,已付款,退款中,3,0
1855,INT20250001854,ON20250001854,ONLY女装官方旗舰店,af2089910020020367,2025-09-20 08:07:28,2025-09-18 08:07:28,52.0,52.0,已发货,金帆,SPU014,SPU014-灰色-均码,西装外套春季款,灰色 标准,2025-09-17 08:07:28,四川省,广元市,京东,SUB20250001854,ONSUB20250001854,ORIG20250001854,1,52.0,52.0,61.38,是,已发货,退款中,1,1
1856,INT20250001855,ON20250001855,阿迪达斯官方旗舰店,ae4259057727884594,,2025-10-01 22:17:32,843.0,843.0,已付款,何超,SPU074,SPU074-绿色-XL,运动长裤春季款,绿色 修身,2025-10-01 22:17:32,云南省,曲靖市,微信,SUB20250001855,ONSUB20250001855,ORIG20250001855,3,281.0,843.0,353.92,是,已付款,申请退款,3,0
1857,INT20250001856,ON20250001856,GXG男装官方旗舰店,ae5750936069013045,2025-06-15 23:29:07,2025-06-13 23:29:07,353.0,353.0,已完成,李楠,SPU019,SPU019-黑色-S,针织连衣裙热卖款,黑色 短款,2025-06-12 23:29:07,西藏自治区,那曲市,抖音,SUB20250001856,ONSUB20250001856,ORIG20250001856,1,353.0,353.0,398.96,是,已完成,成功退款,1,1
